Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;
;nn;Customer;DEMAND;PVC;CMC;FRC;CNC;CCx;CC;;PVC/DEMAND;CMC/DEMAND;FRC/DEMAND;CNC/DEMAND;CCx/DEMAND;CC/DEMAND;
192;96;2;2;3;13;18;16;35;45;; 2 ; 7 ; 9 ; 8 ; 18 ; 23 ;
193;97;1;2;4;25;5;25;25;34;; 2 ; 13 ; 3 ; 13 ; 13 ; 17 ;
194;97;2;1;39;10;21;25;25;17;; 39 ; 10 ; 21 ; 25 ; 25 ; 17 ;
195;98;1;1;28;35;6;39;20;12;; 28 ; 35 ; 6 ; 39 ; 20 ; 12 ;
196;98;2;2;17;5;6;12;31;39;; 9 ; 3 ; 3 ; 6 ; 16 ; 20 ;
197;99;1;1;27;1;1;1;25;17;; 27 ; 1 ; 1 ; 1 ; 25 ; 17 ;
198;99;2;2;9;31;40;50;26;34;; 5 ; 16 ; 20 ; 25 ; 13 ; 17 ;
199;100;1;1;4;49;26;50;25;17;; 4 ; 49 ; 26 ; 50 ; 25 ; 17 ;
200;100;2;2;37;1;1;1;26;34;; 19 ; 1 ; 1 ; 1 ; 13 ; 17 ; 19.122 
;;;;;;;;;;; 2.659 ; 2.571 ; 2.516 ; 3.984 ; 3.875 ; 3.519 ;
;;;;;;;;;;;14%;13%;13%;21%;20%;18%;
